Designator,Mid X,Mid Y,Rotation,Layer
D0-1,84.534446,-82.748507,180.0,top
D0-2,86.915698,-101.798523,180.0,top
D0-3,89.29695,-120.848539,180.0,top
D0-4,79.771942,-139.898555,180.0,top
D1-0,79.771942,-63.698491,180.0,top
D1-2,113.10947,-101.798523,180.0,top
D1-3,117.871974,-120.848539,180.0,top
D1-4,103.584462,-139.898555,180.0,top
D2-0,98.821958,-63.698491,180.0,top
D2-1,108.346966,-82.748507,180.0,top
D2-3,136.92199,-120.848539,180.0,top
D2-4,122.634478,-139.898555,180.0,top
D3-0,117.871974,-63.698491,180.0,top
D3-1,127.396982,-82.748507,180.0,top
D3-2,132.159486,-101.798523,180.0,top
D3-4,141.684494,-139.898555,180.0,top
D4-0,136.92199,-63.698491,180.0,top
D4-1,146.446998,-82.748507,180.0,top
D4-2,151.209502,-101.798523,180.0,top
D4-3,155.972006,-120.848539,180.0,top
D5-0,155.972006,-63.698491,180.0,top
D5-1,165.497014,-82.748507,180.0,top
D5-2,170.259518,-101.798523,180.0,top
D5-3,175.022022,-120.848539,180.0,top
D5-4,160.73451,-139.898555,180.0,top
D6-0,175.022022,-63.698491,180.0,top
D6-1,194.072038,-63.698491,180.0,top
D6-2,184.54703,-82.748507,180.0,top
D6-3,189.309534,-101.798523,180.0,top
D6-4,194.072038,-120.848539,180.0,top
D6-5,182.165778,-139.898555,180.0,top
DI0,65.48443,-86.915698,270.0,top
DI1,59.5313,-94.654767,270.0,top
DI2,65.48443,-102.393836,270.0,top
DI3,59.5313,-110.132905,270.0,top
DI4,65.48443,-117.871974,270.0,top
DI5,59.5313,-125.611043,270.0,top
DS0,87.511011,-54.768796,270.0,top
DS1,92.273515,-73.818812,270.0,top
DS2,120.848539,-92.868828,270.0,top
DS3,149.423563,-130.96886,270.0,top
DS4,168.473579,-130.96886,270.0,top
DS5,189.904847,-130.96886,270.0,top
RC0-1,85.725,-76.2,0.0,top
RC0-2,88.10625,-95.25,0.0,top
RC0-3,90.4875,-114.3,0.0,top
RC0-4,80.9625,-133.35,0.0,top
RC1-0,80.9625,-57.15,0.0,top
RC1-2,114.3,-95.25,0.0,top
RC1-3,119.0625,-114.3,0.0,top
RC1-4,104.775,-133.35,0.0,top
RC2-0,100.0125,-57.15,0.0,top
RC2-1,109.5375,-76.2,0.0,top
RC2-3,138.1125,-114.3,0.0,top
RC2-4,123.825,-133.35,0.0,top
RC3-0,119.0625,-57.15,0.0,top
RC3-1,128.5875,-76.2,0.0,top
RC3-2,133.35,-95.25,0.0,top
RC3-4,142.875,-133.35,0.0,top
RC4-0,138.1125,-57.15,0.0,top
RC4-1,147.6375,-76.2,0.0,top
RC4-2,152.4,-95.25,0.0,top
RC4-3,157.1625,-114.3,0.0,top
RC5-0,157.1625,-57.15,0.0,top
RC5-1,166.6875,-76.2,0.0,top
RC5-2,171.45,-95.25,0.0,top
RC5-3,176.2125,-114.3,0.0,top
RC5-4,161.925,-133.35,0.0,top
RC6-0,176.2125,-57.15,0.0,top
RC6-1,195.2625,-57.15,0.0,top
RC6-2,185.7375,-76.2,0.0,top
RC6-3,190.5,-95.25,0.0,top
RC6-4,195.2625,-114.3,0.0,top
RC6-5,183.35625,-133.35,0.0,top
U1,57.15,-59.53125,0.0,top
